	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
29	Antibiotics_before_3_months	ko00140	Antibiotics_before_3_months1	-0.00268012973964447	654	587	0.0114622679175301	0.0785984085773496
30	Antibiotics_before_3_months	ko03070	Antibiotics_before_3_months1	0.00279107619288323	654	654	0.0123785362126651	0.0833922439590068
31	Antibiotics_before_3_months	ko00640	Antibiotics_before_3_months1	0.00167459430160683	654	654	0.0125593049113908	0.0840137207891365
32	Antibiotics_before_3_months	ko00970	Antibiotics_before_3_months1	-0.00428698201956959	654	654	0.0132468851198824	0.0877035152764625
33	Antibiotics_before_3_months	ko00670	Antibiotics_before_3_months1	-0.00213261613893082	654	654	0.0146471684842702	0.0953307236942334
34	Antibiotics_before_3_months	ko02030	Antibiotics_before_3_months1	0.00979886459220228	654	624	0.0158567290862688	0.10148306615212
35	Antibiotics_before_3_months	ko03018	Antibiotics_before_3_months1	-0.00162595085169494	654	654	0.0162050423418069	0.103139275015257
36	Antibiotics_before_3_months	ko00290	Antibiotics_before_3_months1	-0.00536725943946622	654	654	0.0194276446427993	0.120326057142499
37	Antibiotics_before_3_months	ko04122	Antibiotics_before_3_months1	0.00407813547418778	654	654	0.0216153001792474	0.131750401092555
38	Antibiotics_before_3_months	ko00071	Antibiotics_before_3_months1	0.0024568365305797	654	654	0.022502650951886	0.136437125771435
39	Antibiotics_before_3_months	ko00410	Antibiotics_before_3_months1	0.0100719451955352	654	443	0.0245059800021926	0.145520046198587
40	Antibiotics_before_3_months	ko00531	Antibiotics_before_3_months1	-0.00532631765117837	654	634	0.025171573852254	0.146452793322205
41	Antibiotics_before_3_months	ko00480	Antibiotics_before_3_months1	0.0023987008970084	654	654	0.0272774351714123	0.155699565919598
42	Antibiotics_before_3_months	ko00030	Antibiotics_before_3_months1	-0.00192201788894734	654	654	0.0274990705029324	0.155699565919598
43	Antibiotics_before_3_months	ko00400	Antibiotics_before_3_months1	-0.00265657407038922	654	654	0.0275717981315955	0.155699565919598
44	Antibiotics_before_3_months	ko02040	Antibiotics_before_3_months1	0.00858442680294391	654	654	0.0332300965753375	0.184043611801869
45	Antibiotics_before_3_months	ko00983	Antibiotics_before_3_months1	-0.00185113515132176	654	651	0.0347392432653579	0.191481379146853
46	Antibiotics_before_3_months	ko00260	Antibiotics_before_3_months1	-0.00167913563622986	654	654	0.0349724477795937	0.191848856390914
47	Antibiotics_before_3_months	ko04621	Antibiotics_before_3_months1	0.00178803816943666	654	462	0.0354088754150807	0.193322390891815
48	Antibiotics_before_3_months	ko02060	Antibiotics_before_3_months1	0.00639477396470704	654	654	0.0417989980394396	0.225220274012808
49	Any_smoking_during_pregnancy	ko03430	Any_smoking_during_pregnancy1	-0.00443185658664731	654	654	0.00164371497192812	0.0150282511719142
50	Any_smoking_during_pregnancy	ko00791	Any_smoking_during_pregnancy1	0.00674797066284824	654	653	0.0022103527194685	0.0187229877413802
51	Any_smoking_during_pregnancy	ko00473	Any_smoking_during_pregnancy1	-0.011323478905043	654	654	0.00454891993781927	0.0354078092457284
52	Any_smoking_during_pregnancy	ko00630	Any_smoking_during_pregnancy1	0.00673872661512695	654	654	0.00564046661575349	0.0427487996141317
53	Any_smoking_during_pregnancy	ko00400	Any_smoking_during_pregnancy1	-0.00588451946645693	654	654	0.00615359694406244	0.0463329652258819
54	Any_smoking_during_pregnancy	ko03440	Any_smoking_during_pregnancy1	-0.00399052372268186	654	654	0.00780948925284045	0.0580421394791754
55	Any_smoking_during_pregnancy	ko05111	Any_smoking_during_pregnancy1	0.00311738637030139	654	649	0.00889333344563157	0.0648425324643517
56	Any_smoking_during_pregnancy	ko03030	Any_smoking_during_pregnancy1	-0.00489455680000325	654	654	0.0119512030225956	0.0809869757766478
57	Any_smoking_during_pregnancy	ko00900	Any_smoking_during_pregnancy1	-0.00420563013697017	654	654	0.0126166438337852	0.0840137207891365
58	Any_smoking_during_pregnancy	ko00910	Any_smoking_during_pregnancy1	0.00438709598104146	654	654	0.0134119349963682	0.0882888520903778
59	Any_smoking_during_pregnancy	ko00670	Any_smoking_during_pregnancy1	-0.00363095358228249	654	654	0.0195855064929536	0.120581668865866
60	Any_smoking_during_pregnancy	ko00340	Any_smoking_during_pregnancy1	-0.00706041881229123	654	654	0.0239280131350535	0.143568078810321
61	Any_smoking_during_pregnancy	ko00440	Any_smoking_during_pregnancy1	-0.00386454950797794	654	654	0.0247234664631762	0.145815876265011
62	Any_smoking_during_pregnancy	ko00710	Any_smoking_during_pregnancy1	0.00345093580277671	654	648	0.0418377939572404	0.225220274012808
63	bfduration	ko00471	bfduration	0.000398301412711567	654	654	8.72130925547898e-05	0.000938967127318858
64	bfduration	ko03008	bfduration	0.00014951299940283	654	654	0.000933924888404229	0.00881870058558747
65	bfduration	ko00640	bfduration	-0.000107950835079618	654	654	0.00217926488252189	0.0186801788294476
66	bfduration	ko00051	bfduration	-0.000436108585303658	654	654	0.00218908345657589	0.0186801788294476
67	bfduration	ko00310	bfduration	-0.000377303244365446	654	653	0.00994402050602626	0.0702792124106887
68	bfduration	ko00190	bfduration	-8.32701795513634e-05	654	654	0.0142804641864228	0.0934721292202219
69	bfduration	ko03050	bfduration	0.000196060701282944	654	650	0.0167486195506607	0.105785300633727
70	bfduration	ko00040	bfduration	-0.000222484060749751	654	654	0.0169182365677052	0.105922872423893
71	bfduration	ko00561	bfduration	-0.000139206992247929	654	654	0.030750647005399	0.171134035508308
72	bfduration	ko00791	bfduration	-0.000129149045229418	654	653	0.0469211812861365	0.249093091436079
73	caesar	ko00561	caesar1	0.0054985385167767	654	654	2.61357454217e-11	4.63205826550745e-10
74	caesar	ko00140	caesar1	-0.00374347221668358	654	587	1.17883437455675e-07	1.76365870063555e-06
75	caesar	ko00750	caesar1	-0.00520670704995465	654	654	1.24539501525591e-07	1.83935263791643e-06
76	caesar	ko02060	caesar1	0.0104563770572312	654	654	5.33046686154278e-07	7.39843111385215e-06
77	caesar	ko05150	caesar1	0.00423559588384184	654	654	1.63862320196483e-05	0.0001946076215117
78	caesar	ko00061	caesar1	0.00562582929212294	654	654	4.05610608532907e-05	0.000462637050524663
79	caesar	ko03050	caesar1	-0.00408213529229622	654	650	8.24558789029772e-05	0.000896124268832356
80	caesar	ko00564	caesar1	0.00269288670620559	654	654	0.000168269088444178	0.00177840357695131
