"","Estimate","Std. Error","t value","Pr(>|t|)","taxo","taxo_trim"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio",0.0151097672561159,0.00501920931612329,3.01038795245667,0.00273685729532528,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio","Butyrivibrio"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus",0.0595501246207561,0.0043315585658089,13.7479670922181,7.22412559450132e-37,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus","Coprococcus"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea",0.0824367574028714,0.00353054132307371,23.3496084195671,7.88360123743798e-83,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea","Dorea"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname",0.0945168037082456,0.00288480023537742,32.7637257336398,3.72681964798494e-128,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname","Lachnospiraceae_noname"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia",0.0869609047495752,0.00331353127452498,26.2441780520215,4.54746569860078e-97,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia","Roseburia"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae.g__Oscillibacter",0.0556107479230684,0.00443188330662018,12.5478818090718,1.04527885647032e-31,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae.g__Oscillibacter","Oscillibacter"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname",0.0820007554232361,0.00355016422008716,23.0977358622646,1.38387409610515e-81,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname","Peptostreptococcaceae_noname"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus",0.0344522031814618,0.00483059155792731,7.13208781332869,3.36005812427035e-12,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus","Anaerotruncus"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium",0.0865450708531013,0.00333456360580555,25.9539421297661,1.19610680865631e-95,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium","Faecalibacterium"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_noname",0.0244430176298622,0.00494742796496489,4.94055048460632,1.05432725429456e-06,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_noname","Ruminococcaceae_noname"
