"","Estimate","Std. Error","t value","Pr(>|t|)","module","maxtime"
"M00239",-0.0235158271236797,0.0049561295177879,-4.74479672883441,2.70592839473684e-06,"M00239","3month"
"M00245",0.0271718118465545,0.00491976479348603,5.52299001824865,5.29060221616293e-08,"M00245","24month"
"M00246",0.0169306258084591,0.00500793352188089,3.38076089358716,0.000777634082368676,"M00246","AB"
"M00260",0.0114283870142412,0.0050380350834099,2.26842148278691,0.0237158638748882,"M00260","3month"
"M00276",0.0124990362388493,0.00503310544822213,2.48336466768531,0.0133313024060221,"M00276","AB"
"M00277",0.0164284693979594,0.00501117374223852,3.27836755279228,0.00111447866809011,"M00277","AB"
"M00287",0.0138659261503243,0.00502616248896792,2.75875007637717,0.0060082960504099,"M00287","3month"
"M00299",0.0227649927636807,0.00496291882521316,4.58701694817725,5.65031022816746e-06,"M00299","AB"
"M00302",0.0103168369037864,0.005042681860166,2.04590279336931,0.04127234306869,"M00302","AB"
"M00310",0.0227584652373329,0.00496297684344242,4.58564808082948,5.68599522234995e-06,"M00310","24month"
"M00311",0.0218738453497283,0.00497067961877734,4.40057437359215,1.31256312670651e-05,"M00311","12month"
"M00317",0.0105073446973901,0.00504191947883383,2.08399692646825,0.0376518257178487,"M00317","AB"
"M00319",0.0143656394347878,0.00502344193598199,2.85972041040016,0.0044118404627409,"M00319","AB"
"M00331",0.0121075977183288,0.00503495949232368,2.40470608289662,0.0165367343628148,"M00331","12month"
"M00335",0.0224591382879347,0.00496561874017869,4.5229284532478,7.57433422711888e-06,"M00335","3month"
"M00342",0.011792421643936,0.00503640897593014,2.34143448244454,0.0195894055134612,"M00342","3month"
"M00348",0.0276154879169952,0.00491497481751551,5.61864280943654,3.15207769664923e-08,"M00348","24month"
"M00358",0.0124064846220458,0.00503354920476261,2.46475878497564,0.014035214092662,"M00358","24month"
"M00359",0.0172788145274495,0.0050056282487805,3.45187730064835,0.000602390541621235,"M00359","24month"
"M00360",0.0104571249473427,0.00504212181527634,2.07395325429471,0.0385790516472718,"M00360","24month"
