	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
27	Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella	Any_smoking_during_pregnancy1	0.0858215702723649	518	233	0.00238842235029932	0.0234874249016655
28	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus	Any_smoking_during_pregnancy1	0.232458677191071	518	276	0.00537808706934202	0.0512500061902005
29	Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae	Any_smoking_during_pregnancy1	0.0929349454670516	518	268	0.00617580143778933	0.0584895902323556
30	Any_smoking_during_pregnancy	k__Viruses	Any_smoking_during_pregnancy1	0.118150641642806	518	155	0.00630769183635425	0.059373319487151
31	Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname_c__Viruses_noname	Any_smoking_during_pregnancy1	0.118150641642806	518	155	0.00630769183635425	0.059373319487151
32	Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname	Any_smoking_during_pregnancy1	0.115181312437118	518	155	0.00807836810749091	0.0755781672792006
33	Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Viruses_noname	Any_smoking_during_pregnancy1	0.0489181359890692	518	65	0.00963817406725011	0.0893563246355296
34	Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces	Any_smoking_during_pregnancy1	0.0772763346676429	518	255	0.0119110538386207	0.108789981350963
35	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli	Any_smoking_during_pregnancy1	-0.121230570494812	518	518	0.01373465641827	0.12507477057821
36	Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Escherichia_s__Escherichia_coli	Any_smoking_during_pregnancy1	0.221817017872663	518	396	0.0141367425847754	0.127979099046878
37	Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Escherichia_s__Escherichia_coli_t__Escherichia_coli_unclassified	Any_smoking_during_pregnancy1	0.221817017872663	518	396	0.0141367425847754	0.127979099046878
38	Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae	Any_smoking_during_pregnancy1	0.196657093269278	518	384	0.0222967733106558	0.193868554379092
39	Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides	Any_smoking_during_pregnancy1	0.193772077482824	518	384	0.0234513204092591	0.200776393550785
40	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia	Any_smoking_during_pregnancy1	0.142091894391173	518	337	0.0266860368636287	0.225658300731454
41	caesar	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales	caesar1	-0.1226614895358	518	398	6.01082819768111e-06	7.34179729859621e-05
42	caesar	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens	caesar1	-0.120954948853311	518	203	0.00113740125689647	0.0116697368957578
43	caesar	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens_t__GCF_000169035	caesar1	-0.120954948853311	518	203	0.00113740125689647	0.0116697368957578
44	caesar	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella	caesar1	-0.114425239163871	518	218	0.00118151245001004	0.0120820442562489
45	caesar	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__Haemophilus_parainfluenzae	caesar1	0.031142390944748	518	207	0.00193535894153605	0.0194674340589803
