	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
136	time	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	time	0.0219414688654251	646	468	2.32598579897134e-50	1.52206695720187e-48
137	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	time	0.00478624285394782	646	111	1.6356128337269e-48	1.02749198214724e-46
138	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis|t__Streptococcus_sanguinis_unclassified	time	0.00478624285394782	646	111	1.6356128337269e-48	1.02749198214724e-46
139	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	time	-0.0167103303953621	646	216	4.25959029435478e-48	2.57295636818622e-46
140	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__Staphylococcus_epidermidis_unclassified	time	-0.0167103303953621	646	216	4.25959029435478e-48	2.57295636818622e-46
141	time	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	time	0.0210981124480141	646	385	9.28957103986335e-47	5.50538540305864e-45
142	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	time	0.0164132646308901	646	100	1.24429646923872e-42	7.10606401796148e-41
143	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065	time	0.0164132646308901	646	100	1.24429646923872e-42	7.10606401796148e-41
144	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA	time	0.0108772897102901	646	133	2.63340198655627e-41	1.45114309469706e-39
145	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA|t__GCF_000218385	time	0.0108772897102901	646	133	2.63340198655627e-41	1.45114309469706e-39
146	time	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta	time	0.0101957989095559	646	313	3.2675526689243e-40	1.7395564293375e-38
147	time	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta|t__GCF_000024265	time	0.0101957989095559	646	313	3.2675526689243e-40	1.7395564293375e-38
148	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	time	0.0115961306753225	646	128	5.26279310443822e-40	2.70990707230171e-38
149	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195	time	0.0115961306753225	646	128	5.26279310443822e-40	2.70990707230171e-38
150	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	time	0.0139365779845889	646	85	1.03286621861386e-39	5.14957586137481e-38
151	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified	time	0.0139365779845889	646	85	1.03286621861386e-39	5.14957586137481e-38
152	time	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	time	0.0191250858066123	646	377	3.52273809307956e-39	1.7288938047442e-37
153	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	time	0.0126847713818939	646	244	2.16124246063589e-38	1.00952112238311e-36
154	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__Streptococcus_thermophilus_unclassified	time	0.0126847713818939	646	244	2.16124246063589e-38	1.00952112238311e-36
155	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	time	0.00574377069611132	646	190	2.18552805864538e-38	1.00952112238311e-36
156	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis|t__Streptococcus_australis_unclassified	time	0.00574377069611132	646	190	2.18552805864538e-38	1.00952112238311e-36
157	time	k__Bacteria|p__Verrucomicrobia	time	0.0135832375726065	646	172	4.37228509180859e-38	1.83111299644944e-36
158	time	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	time	0.0135832375726065	646	172	4.37228509180859e-38	1.83111299644944e-36
159	time	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	time	0.0135832375726065	646	172	4.37228509180859e-38	1.83111299644944e-36
160	time	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	time	0.0135832375726065	646	172	4.37228509180859e-38	1.83111299644944e-36
161	time	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	time	0.0135832375726065	646	172	4.37228509180859e-38	1.83111299644944e-36
